Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows' milk,1 qt.,976,660,32,40,36,0.0,48.0,Dairy products
Milk skim,1 qt.,984,360,36,0,0,0.0,52.0,Dairy products
Buttermilk,1 cup,246,127,9,5,4,0.0,13.0,Dairy products
"Evaporated, undiluted",1 cup,252,345,16,20,18,0.0,24.0,Dairy products
Fortified milk,6 cups,1419,1373,89,42,23,1.4,119.0,Dairy products
Powdered milk,1 cup,103,515,27,28,24,0.0,39.0,Dairy products
"Skim milk, instant",1 1/3 cups,85,290,30,0,0,0.0,42.0,Dairy products
"Skim milk, non-instant",2/3 cup,85,290,30,0,0,1.0,42.0,Dairy products
Goats' milk,1 cup,244,165,8,10,8,0.0,11.0,Dairy products
"Ice cream, 1/2 cup",2 cups,540,690,24,24,22,0.0,70.0,Dairy products
Cocoa,1 cup,252,235,8,11,10,0.0,26.0,Dairy products
Skim milk,1 cup,250,128,18,4,3,1.0,13.0,Dairy products
"Custard, cornstarch",1 cup,248,275,9,10,9,0.0,40.0,Dairy products
Custard,1 cup,248,285,13,14,11,0.0,28.0,Dairy products
Ice cream,1 cup,188,300,6,18,16,0.0,29.0,Dairy products
Ice milk,1 cup,190,275,9,10,9,0.0,32.0,Dairy products
"Cream, half-and-half",1/2 cup,120,170,4,15,13,0.0,5.0,Dairy products
"Cream, whipping",1/2 cup,119,430,2,44,27,1.0,3.0,Dairy products
Cheese,1 cup,225,240,30,11,10,0.0,6.0,Dairy products
"Cheese, uncreamed",1 cup,225,195,38,0,0,0.0,6.0,Dairy products
Cheddar,1-in. cube,17,70,4,6,5,0.0,0.0,Dairy products
"Cheddar, grated",1/2 cup,56,226,14,19,17,0.0,1.0,Dairy products
Cream cheese,1 oz.,28,105,2,11,10,0.0,1.0,Dairy products
Processed cheese,1 oz.,28,105,7,9,8,0.0,0.0,Dairy products
Roquefort type,1 oz.,28,105,6,9,8,0.0,0.0,Dairy products
Swiss,1 oz.,28,105,7,8,7,0.0,0.0,Dairy products
"Eggs, raw",2,100,150,12,12,10,0.0,0.0,Dairy products
"Eggs, scrambled or fried",2,128,220,13,16,14,0.0,1.0,Dairy products
Yolks,2,34,120,6,10,8,0.0,0.0,"Fats, Oils, Shortenings"
Butter,1 T.,14,100,0,11,10,0.0,0.0,"Fats, Oils, Shortenings"
Butter,1/2 cup,112,800,0,91,58,0.0,0.0,"Fats, Oils, Shortenings"
Butter,1/4 lb.,112,800,0,91,58,0.0,0.0,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,1/2 cup,100,665,0,100,88,0.0,0.0,"Fats, Oils, Shortenings"
Lard,1/2 cup,110,992,0,110,92,0.0,0.0,"Fats, Oils, Shortenings"
Margarine,1/2 cup,112,806,0,91,76,0.0,0.0,"Fats, Oils, Shortenings"
Margarine,1 T.,14,100,0,11,9,0.0,0.0,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,15,110,0,12,5,0.0,0.0,"Fats, Oils, Shortenings"
Corn oil,1 T.,14,125,0,14,5,0.0,0.0,"Fats, Oils, Shortenings"
Olive oil,1 T.,14,125,0,14,3,0.0,0.0,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,14,125,0,14,3,0.0,0.0,"Fats, Oils, Shortenings"
French dressing,1 T.,15,60,0,6,2,0.0,2.0,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,15,75,0,8,3,0.0,1.0,"Fats, Oils, Shortenings"
Salt pork,2 oz.,60,470,3,55,20,0.0,0.0,"Meat, Poultry"
Bacon,2 slices,16,95,4,8,7,0.0,1.0,"Meat, Poultry"
Beef,3 oz.,85,245,23,16,15,0.0,0.0,"Meat, Poultry"
Hamburger,3 oz.,85,245,21,17,15,0.0,0.0,"Meat, Poultry"
Ground lean beef,3 oz.,85,185,24,10,9,0.0,0.0,"Meat, Poultry"
Roast beef,3 oz.,85,390,16,36,35,0.0,0.0,"Meat, Poultry"
Steak,3 oz.,85,330,20,27,25,0.0,0.0,"Meat, Poultry"
"Steak, lean, round",3 oz.,85,220,24,12,11,0.0,0.0,"Meat, Poultry"
Corned beef,3 oz.,85,185,22,10,9,0.0,0.0,"Meat, Poultry"
"Corned beef hash, canned",3 oz.,85,120,12,8,7,0.0,6.0,"Meat, Poultry"
"Corned beef hash, dried",2 oz.,56,115,19,4,4,0.0,0.0,"Meat, Poultry"
Pot-pie,1 pie,227,480,18,28,25,0.0,32.0,"Meat, Poultry"
Corned beef hash stew,1 cup,235,185,15,10,9,0.0,15.0,"Meat, Poultry"
Chicken,3 oz.,85,185,23,9,7,0.0,0.0,"Meat, Poultry"
"Fried chicken, breast or leg",3 oz.,85,245,25,15,11,0.0,0.0,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,100,290,25,20,16,0.0,0.0,"Meat, Poultry"
"Chicken livers, fried",3 med.,100,140,22,14,12,0.0,2.3,"Meat, Poultry"
"Duck, domestic",3 1/2 oz.,100,370,16,28,10,0.0,0.0,"Meat, Poultry"
"Lamb chop, broiled",4 oz.,115,480,24,35,33,0.0,0.0,"Meat, Poultry"
Leg roasted lamb,3 oz.,86,314,20,14,14,0.0,0.0,"Meat, Poultry"
"Shoulder, braised lamb",3 oz.,85,285,18,23,21,0.0,0.0,"Meat, Poultry"
"Pork chop, thick",3 1/2 oz.,100,260,16,21,18,0.0,0.0,"Meat, Poultry"
"Ham, pan-broiled",3 oz.,85,290,16,22,19,0.0,0.0,"Meat, Poultry"
Ham,2 oz.,57,170,13,13,11,0.0,0.0,"Meat, Poultry"
"Ham, canned, spiced",2 oz.,57,165,8,14,12,0.0,1.0,"Meat, Poultry"
Pork roast,3 oz.,85,310,21,24,21,0.0,0.0,"Meat, Poultry"
Pork sausage,3 1/2 oz.,100,475,18,44,40,0.0,0.0,"Meat, Poultry"
Turkey,3 1/2 oz.,100,265,27,15,5,0.0,0.0,"Meat, Poultry"
Veal,3 oz.,85,185,23,9,8,0.0,0.0,"Meat, Poultry"
Veal roast,3 oz.,85,305,13,14,13,0.0,0.0,"Meat, Poultry"
Clams,3 oz.,85,87,12,1,0,0.0,2.0,"Fish, Seafood"
Cod,3 1/2 oz.,100,170,28,5,1,0.0,0.0,"Fish, Seafood"
Crab meat,3 oz.,85,90,14,2,0,0.0,1.0,"Fish, Seafood"
"Fish sticks, fried",5,112,200,19,10,5,0.0,8.0,"Fish, Seafood"
Flounder,3 1/2 oz.,100,200,30,8,2,0.0,0.0,"Fish, Seafood"
Haddock,3 oz.,85,135,16,5,4,0.0,6.0,"Fish, Seafood"
Halibut,3 1/2 oz.,100,182,26,8,2,0.0,0.0,"Fish, Seafood"
Herring,1 small,100,211,22,13,3,0.0,0.0,"Fish, Seafood"
Lobster,average,100,92,18,1,0,0.0,0.0,"Fish, Seafood"
Mackerel,3 oz.,85,155,18,9,2,0.0,0.0,"Fish, Seafood"
Oysters,6-8 med.,230,160,14,7,2,0.0,8.0,"Fish, Seafood"
Oyster stew,1 cup,85,125,19,6,1,0.0,0.0,"Fish, Seafood"
Salmon,3 oz.,85,120,17,5,1,0.0,0.0,"Fish, Seafood"
Sardines,3 oz.,85,180,22,9,4,0.0,0.0,"Fish, Seafood"
Scallops,3 1/2 oz.,100,104,18,8,2,0.0,10.0,"Fish, Seafood"
Shad,3 oz.,85,170,20,10,3,0.0,0.0,"Fish, Seafood"
Shrimp,3 oz.,85,110,23,1,0,0.0,0.0,"Fish, Seafood"
Swordfish,1 steak,100,180,27,6,2,0.0,0.0,"Fish, Seafood"
Tuna,3 oz.,85,170,25,7,3,0.0,0.0,"Fish, Seafood"
Artichoke,1 large,100,26,2,0,0,2.0,10.0,Vegetables A-E
Asparagus,6 spears,96,18,1,0,0,0.5,3.0,Vegetables A-E
Beans,1 cup,125,25,1,0,0,0.8,6.0,Vegetables A-E
Lima beans,1 cup,160,140,8,0,0,3.0,24.0,Vegetables A-E
"Lima beans, dry, cooked",1 cup,192,260,16,0,0,2.0,48.0,Vegetables A-E
"Navy beans, baked with pork",3/4 cup,200,250,11,6,6,2.0,37.0,Vegetables A-E
Red kidney beans,1 cup,260,230,15,1,0,2.5,42.0,Vegetables A-E
Bean sprouts,1 cup,50,17,1,0,0,0.3,3.0,Vegetables A-E
Beet greens,1 cup,100,27,2,0,0,1.4,6.0,Vegetables A-E
Beetroots,1 cup,165,52,2,0,0,2.0,12.0,Vegetables A-E
Broccoli,1 cup,150,45,5,0,0,1.9,8.0,Vegetables A-E
Brussels sprouts,1 cup,130,60,6,0,0,1.7,12.0,Vegetables A-E
Sauerkraut,1 cup,150,32,1,0,0,1.2,7.0,Vegetables A-E
Steamed cabbage,1 cup,170,40,2,0,0,1.3,9.0,Vegetables A-E
Carrots,1 cup,150,45,1,0,0,0.9,10.0,Vegetables A-E
"Carrots, raw, grated",1 cup,110,45,1,0,0,1.2,10.0,Vegetables A-E
"Carrot strips, raw",1 medium,50,20,0,0,0,0.5,5.0,Vegetables A-E
Cauliflower,1 cup,120,30,3,0,0,1.0,6.0,Vegetables A-E
Celery,1 cup,100,20,1,0,0,1.0,4.0,Vegetables A-E
"Celery stalk, raw",1 large,40,5,1,0,0,0.3,1.0,Vegetables A-E
"Chard, steamed",1 cup,150,30,2,0,0,1.4,7.0,Vegetables A-E
Collards,1 cup,150,51,5,0,0,2.0,8.0,Vegetables A-E
Corn,1 ear,100,92,3,1,0,0.8,21.0,Vegetables A-E
"Corn, cooked or canned",1 cup,200,170,5,0,0,1.6,41.0,Vegetables A-E
Cucumbers,8 slices,50,6,0,0,0,0.2,1.0,Vegetables A-E
Dandelion greens,1 cup,180,80,5,1,0,3.2,16.0,Vegetables A-E
Eggplant,1 cup,180,30,2,0,0,1.0,9.0,Vegetables A-E
Endive,2 oz.,57,10,1,0,0,0.6,2.0,Vegetables A-E
Kale,1 cup,110,45,4,1,0,0.9,8.0,Vegetables F-P
Kohlrabi,1 cup,140,40,2,0,0,1.5,9.0,Vegetables F-P
"Lambs quarters, steamed",1 cup,150,48,5,0,0,3.2,7.0,Vegetables F-P
Lentils,1 cup,200,212,15,0,0,2.4,38.0,Vegetables F-P
Lettuce,1/4 head,100,14,1,0,0,0.5,2.0,Vegetables F-P
Iceberg lettuce,1/4 head,100,13,0,0,0,0.5,3.0,Vegetables F-P
"Mushrooms, canned",4,120,12,2,0,0,0.0,4.0,Vegetables F-P
Mustard greens,1 cup,140,30,3,0,0,1.2,6.0,Vegetables F-P
Okra,1 1/3 cups,100,32,1,0,0,1.0,7.0,Vegetables F-P
Onions,1 medium,210,80,2,0,0,1.6,18.0,Vegetables F-P
"Onions, raw, green",6 small,50,22,0,0,0,1.0,5.0,Vegetables F-P
Parsley,2 T.,50,2,0,0,0,0.0,0.0,Vegetables F-P
Parsnips,1 cup,155,95,2,1,0,3.0,22.0,Vegetables F-P
Peas,1 cup,100,66,3,0,0,0.1,13.0,Vegetables F-P
"Fresh peas, steamed",1 cup,100,70,5,0,0,2.2,12.0,Vegetables R-Z
Frozen peas,1 cup,100,70,5,0,0,1.8,12.0,Vegetables R-Z
"Split peas, cooked",1 cup,100,115,8,0,0,0.4,21.0,Vegetables R-Z
Heated peas,1 cup,100,53,3,0,0,1.0,10.0,Vegetables R-Z
"Peppers, canned",1 pod,38,10,0,0,0,0.0,2.0,Vegetables R-Z
"Peppers, raw, green, sweet",1 large,100,25,1,0,0,1.4,6.0,Vegetables R-Z
Peppers with beef and crumbs,1 medium,150,255,19,9,8,1.0,24.0,Vegetables R-Z
"Potatoes, baked",1 medium,100,100,2,0,0,0.5,22.0,Vegetables R-Z
French-fried potatoes,10 pieces,60,155,2,7,3,0.4,20.0,Vegetables R-Z
"Potatoes, mashed with milk and butter",1 cup,200,230,4,12,11,0.7,28.0,Vegetables R-Z
"Potatoes, pan-fried",3/4 cup,100,268,4,14,6,0.4,33.0,Vegetables R-Z
Scalloped potatoes with cheese,3/4 cup,100,145,6,8,7,0.4,14.0,Vegetables R-Z
Steamed potatoes,1 medium,100,80,2,0,0,0.4,19.0,Vegetables R-Z
Potato chips,10,20,110,1,7,4,0.0,10.0,Vegetables R-Z
Radishes,5 small,50,10,0,0,0,0.3,2.0,Vegetables R-Z
Rutabagas,1 cup,100,32,0,0,0,1.4,8.0,Vegetables R-Z
Soybeans,1 cup,200,260,22,11,0,3.2,20.0,Vegetables R-Z
Spinach,1 cup,100,26,3,0,0,1.0,3.0,Vegetables R-Z
Squash,1 cup,210,35,1,0,0,0.6,8.0,Vegetables R-Z
"Winter squash, mashed",1 cup,200,95,4,0,0,2.6,23.0,Vegetables R-Z
Sweet potatoes,1 medium,110,155,2,1,0,1.0,36.0,Vegetables R-Z
Candied sweet potatoes,1 medium,175,235,2,6,5,1.5,80.0,Vegetables R-Z
Tomatoes,1 cup,240,50,2,0,0,1.0,9.0,Vegetables R-Z
"Tomatoes, raw",1 medium,150,30,1,0,0,0.6,6.0,Vegetables R-Z
Tomato juice,1 cup,240,50,2,0,0,0.6,10.0,Vegetables R-Z
Tomato catsup,1 T.,17,15,0,0,0,0.0,4.0,Vegetables R-Z
Turnip greens,1 cup,145,45,4,1,0,1.8,8.0,Vegetables R-Z
"Turnips, steamed",1 cup,155,40,1,0,0,1.8,9.0,Vegetables R-Z
"Watercress stems, raw",1 cup,50,9,1,0,0,0.3,1.0,Fruits A-F
"Apple juice, canned",1 cup,250,125,0,0,0,0.0,34.0,Fruits A-F
Apple vinegar,1/3 cup,100,14,0,0,0,0.0,3.0,Fruits A-F
"Apples, raw",1 medium,130,70,0,0,0,1.0,18.0,Fruits A-F
"Apples, stewed or canned",1 cup,240,100,0,0,0,2.0,26.0,Fruits A-F
Apricots,1 cup,250,220,2,0,0,1.0,57.0,Fruits A-F
"Apricots, dried, uncooked",1/2 cup,75,220,4,0,0,1.0,50.0,Fruits A-F
"Apricots, fresh",3 medium,114,55,1,0,0,0.7,14.0,Fruits A-F
"Nectar, apricot juice",1 cup,250,140,1,0,0,2.0,36.0,Fruits A-F
Avocado,1/2 large,108,185,2,18,12,1.8,6.0,Fruits A-F
Banana,1 medium,150,85,1,0,0,0.9,23.0,Fruits A-F
Blackberries,1 cup,144,85,2,1,0,6.6,19.0,Fruits A-F
Blueberries,1 cup,250,245,1,0,0,2.0,65.0,Fruits A-F
Cantaloupe,1/2 medium,380,40,1,0,0,2.2,9.0,Fruits A-F
Cherries,1 cup,257,100,2,1,0,2.0,26.0,Fruits A-F
"Cherries, fresh, raw",1 cup,114,65,1,0,0,0.8,15.0,Fruits A-F
"Cranberry sauce, sweetened",1 cup,277,530,0,0,0,1.2,142.0,Fruits A-F
Dates,1 cup,178,505,4,0,0,3.6,134.0,Fruits A-F
Figs,2,42,120,2,0,0,1.9,30.0,Fruits A-F
"Figs, fresh, raw",3 medium,114,90,2,0,0,1.0,22.0,Fruits A-F
"Figs, canned with syrup",3,115,130,1,0,0,1.0,32.0,Fruits A-F
"Fruit cocktail, canned",1 cup,256,195,1,0,0,0.5,50.0,Fruits A-F
Grapefruit sections,1 cup,250,170,1,0,0,0.5,44.0,Fruits G-P
"Grapefruit, fresh",1/2,285,50,1,0,0,1.0,14.0,Fruits G-P
Grapefruit juice,1 cup,250,100,1,0,0,1.0,24.0,Fruits G-P
Grapes,1 cup,153,70,1,0,0,0.8,16.0,Fruits G-P
"Grapes, European",1 cup,160,100,1,0,0,0.7,26.0,Fruits G-P
Grape juice,1 cup,250,160,1,0,0,0.0,42.0,Fruits G-P
Lemon juice,1/2 cup,125,30,0,0,0,0.0,10.0,Fruits G-P
"Lemonade concentrate, frozen",6-oz. can,220,430,0,0,0,0.0,112.0,Fruits G-P
"Limeade concentrate, frozen",6-oz. can,218,405,0,0,0,0.0,108.0,Fruits G-P
"Olives, large",10,65,72,1,10,9,0.8,3.0,Fruits G-P
"Olives, ripe",10,65,105,1,13,12,1.0,1.0,Fruits G-P
Oranges,1 medium,180,60,2,0,0,1.0,16.0,Fruits G-P
Orange juice,8 oz.,250,112,2,0,0,0.2,25.0,Fruits G-P
"Orange juice, frozen",6-oz. can,210,330,2,0,0,0.4,78.0,Fruits G-P
Papaya,1/2 medium,200,75,1,0,0,1.8,18.0,Fruits G-P
Peaches,1 cup,257,200,1,0,0,1.0,52.0,Fruits G-P
"Peaches, fresh, raw",1 medium,114,35,1,0,0,0.6,10.0,Fruits G-P
Pears,1 cup,255,195,1,0,0,2.0,50.0,Fruits G-P
"Pears, raw",1 medium,182,100,1,1,0,2.0,25.0,Fruits G-P
Persimmons,1 medium,125,75,1,0,0,2.0,20.0,Fruits G-P
Pineapple,1 large slice,122,95,0,0,0,0.4,26.0,Fruits G-P
"Pineapple, crushed",1 cup,260,205,1,0,0,0.7,55.0,Fruits G-P
"Pineapple, raw, diced",1 cup,140,75,1,0,0,0.6,19.0,Fruits G-P
Pineapple juice,1 cup,250,120,1,0,0,0.2,32.0,Fruits G-P
Plums,1 cup,256,185,1,0,0,0.7,50.0,Fruits G-P
"Plums, raw",1,60,30,0,0,0,0.2,7.0,Fruits G-P
Prunes,1 cup,270,300,3,1,0,0.8,81.0,Fruits G-P
Prune juice,1 cup,240,170,1,0,0,0.7,45.0,Fruits G-P
Raisins,1/2 cup,88,230,2,0,0,0.7,82.0,Fruits R-Z
Raspberries,1/2 cup,100,100,0,0,0,2.0,25.0,Fruits R-Z
"Raspberries, raw, red",3/4 cup,100,57,0,0,0,5.0,14.0,Fruits R-Z
"Rhubarb, sweetened",1 cup,270,385,1,0,0,1.9,98.0,Fruits R-Z
Strawberries,1 cup,227,242,1,0,0,1.3,60.0,Fruits R-Z
"Strawberries, raw",1 cup,149,54,0,0,0,1.9,12.0,Fruits R-Z
Tangerines,1 medium,114,40,1,0,0,1.0,10.0,Fruits R-Z
Watermelon,1 wedge,925,120,2,1,0,3.6,29.0,Fruits R-Z
Biscuits,1,38,130,3,4,3,0.0,18.0,"Breads, cereals, fastfood,grains"
Bran flakes,1 cup,25,117,3,0,0,0.1,32.0,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",1 slice,23,60,2,1,1,0.1,12.0,"Breads, cereals, fastfood,grains"
Rye bread,1 slice,23,55,2,1,1,0.1,12.0,"Breads, cereals, fastfood,grains"
White bread,1-lb. loaf,454,1225,39,15,12,9.0,229.0,"Breads, cereals, fastfood,grains"
Whole-wheat bread,1-lb. loaf,454,1100,48,14,10,67.5,216.0,"Breads, cereals, fastfood,grains"
Whole-wheat bread,1 slice,23,55,2,1,0,0.31,11.0,"Breads, cereals, fastfood,grains"
"Corn bread, ground meal",1 serving,50,100,3,4,2,0.3,15.0,"Breads, cereals, fastfood,grains"
Cornflakes,1 cup,25,110,2,0,0,0.1,25.0,"Breads, cereals, fastfood,grains"
"Corn grits, cooked",1 cup,242,120,8,0,0,0.2,27.0,"Breads, cereals, fastfood,grains"
Corn meal,1 cup,118,360,9,4,2,1.6,74.0,"Breads, cereals, fastfood,grains"
Crackers,2 medium,14,55,1,1,0,0.0,10.0,"Breads, cereals, fastfood,grains"
Soda crackers,2,11,45,1,1,0,0.0,8.0,"Breads, cereals, fastfood,grains"
Farina,1 cup,238,105,3,0,0,8.0,22.0,"Breads, cereals, fastfood,grains"
Macaroni,1 cup,140,155,5,1,0,0.1,32.0,"Breads, cereals, fastfood,grains"
"Macaroni, baked with cheese",1 cup,220,475,18,25,24,0.0,44.0,"Breads, cereals, fastfood,grains"
Muffins,1,48,135,4,5,4,0.0,19.0,"Breads, cereals, fastfood,grains"
Noodles,1 cup,160,200,7,2,2,0.1,37.0,"Breads, cereals, fastfood,grains"
Oatmeal,1 cup,236,150,5,3,2,4.6,26.0,"Breads, cereals, fastfood,grains"
"Pancakes, 4-inch diameter",4,108,250,7,9,0,0.1,28.0,"Breads, cereals, fastfood,grains"
"Wheat pancakes, 4-inch diameter",4,108,250,7,9,0,0.1,28.0,"Breads, cereals, fastfood,grains"
"Pizza, 14-inch diameter",1 section,75,180,8,6,5,0.0,23.0,"Breads, cereals, fastfood,grains"
"Popcorn, salted",2 cups,28,152,3,7,2,0.5,20.0,"Breads, cereals, fastfood,grains"
Puffed rice,1 cup,14,55,0,0,0,0.0,12.0,"Breads, cereals, fastfood,grains"
"Puffed wheat, presweetened",1 cup,28,105,1,0,0,0.6,26.0,"Breads, cereals, fastfood,grains"
Rice,1 cup,208,748,15,3,0,1.2,154.0,"Breads, cereals, fastfood,grains"
"Rice, converted",1 cup,187,677,14,0,0,0.4,142.0,"Breads, cereals, fastfood,grains"
"Rice, white",1 cup,191,692,14,0,0,0.3,150.0,"Breads, cereals, fastfood,grains"
Rice flakes,1 cup,30,115,2,0,0,0.1,26.0,"Breads, cereals, fastfood,grains"
Rice polish,1/2 cup,50,132,6,6,0,1.2,28.0,"Breads, cereals, fastfood,grains"
Rolls,1 large,50,411,3,12,11,0.1,23.0,"Breads, cereals, fastfood,grains"
"Rolls, refined flour",1,38,115,3,2,2,0.0,20.0,"Breads, cereals, fastfood,grains"
Whole-wheat rolls,1,40,102,4,1,0,0.1,20.0,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,1 cup,250,285,13,10,6,0.5,35.0,"Breads, cereals, fastfood,grains"
Spaghetti with tomatoes and cheese,1 cup,250,210,6,5,3,0.5,36.0,"Breads, cereals, fastfood,grains"
Spanish rice,1 cup,250,217,4,4,0,1.2,40.0,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,1,28,100,3,1,0,0.7,23.0,"Breads, cereals, fastfood,grains"
Waffles,1,75,240,8,9,1,0.1,30.0,"Breads, cereals, fastfood,grains"
Wheat germ,1 cup,68,245,17,7,3,2.5,34.0,"Breads, cereals, fastfood,grains"
"Wheat-germ cereal, toasted",1 cup,65,260,20,7,3,2.5,36.0,"Breads, cereals, fastfood,grains"
"Wheat meal cereal, unrefined",3/4 cup,30,103,4,1,0,0.7,25.0,"Breads, cereals, fastfood,grains"
"Wheat, cooked",3/4 cup,200,275,12,1,0,4.4,35.0,"Breads, cereals, fastfood,grains"
Bean soup,1 cup,250,190,8,5,4,0.6,30.0,Soups
